,Year,Count
0,2005,5
1,2006,6
2,2007,5
3,2008,4
4,2009,10
5,2010,7
6,2011,2
7,2012,2
8,2013,6
9,2014,1
10,2015,5
11,2016,8
12,2017,20
13,2018,18
14,2019,12
15,2020,6
