,Year,Count
0,1979,1
1,1980,1
2,1981,2
3,1982,4
4,1983,6
5,1984,7
6,1985,7
7,1986,11
8,1987,6
9,1988,2
10,1989,5
11,1990,8
12,1991,2
13,1992,1
