,Year,Count
,1994,0
0,1995,5
1,1996,8
2,1997,3
3,1998,3
4,1999,11
5,2000,6
6,2001,5
7,2002,12
8,2003,9
9,2004,4
10,2005,10
11,2006,13
12,2007,15
13,2008,7
14,2009,2
15,2010,3
16,2011,1
